CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,CITY,STATE,CUSTOMER_SEGMENT,RECENCY_DAYS,FREQUENCY,MONETARY_VALUE,FIRST_ORDER_DATE,LAST_ORDER_DATE,RECENCY_SCORE,FREQUENCY_SCORE,MONETARY_SCORE,RFM_SCORE,RFM_TOTAL_SCORE,CLUSTER_ID,SEGMENT_NAME
C009722,Wendy,Bruce,rodriguezbriana@example.net,Lucknow,Uttar Pradesh,Regular,19,17,1574580.25,2025-08-13 13:13:39.836198,2026-07-25 03:06:12.495724,4,5,5,455,14,3,Loyal Customers
C005676,Sarah,Mcdonald,amy57@example.net,Lucknow,Uttar Pradesh,Budget,101,10,1030071.1,2025-08-13 05:31:07.878678,2026-05-04 12:26:07.743677,1,3,4,134,8,1,At Risk
C007778,Michael,Gomez,greendavid@example.org,Bangalore,Karnataka,Regular,6,12,942867.25,2025-08-13 17:36:27.993879,2026-08-07 04:32:21.859418,5,4,4,544,13,0,Loyal Customers
C007680,Renee,Tyler,richardjoseph@example.net,Lucknow,Uttar Pradesh,Regular,25,11,851628.35,2025-08-14 02:06:18.219782,2026-07-19 15:26:21.675816,3,3,3,333,9,1,At Risk
C006666,Lindsay,Davis,douglas59@example.net,Bhubaneswar,Odisha,Regular,10,14,824485.4,2025-08-14 14:22:09.061290,2026-08-03 11:26:57.532175,4,5,3,453,12,3,Loyal Customers
C005349,Christopher,Jackson,timothycampbell@example.net,Bangalore,Karnataka,Budget,32,9,845436.05,2025-08-15 05:26:11.523715,2026-07-12 14:37:56.878768,3,2,3,323,8,1,At Risk
C007731,Peter,Vargas,gabrielcasey@example.org,Delhi,Delhi,Regular,58,8,694020.1,2025-08-15 16:12:41.191611,2026-06-16 16:34:43.124831,2,2,3,223,7,1,At Risk
C004469,David,Clay,pearsonjames@example.org,Pune,Maharashtra,Premium,5,9,765141.6,2025-08-15 07:11:18.786787,2026-08-08 01:02:16.837368,5,2,3,523,10,0,Loyal Customers
C006375,Johnathan,Martin,robertboyd@example.net,Chennai,Tamil Nadu,Regular,12,10,820057.8,2025-08-13 11:49:34.025740,2026-08-01 22:13:08.191881,4,3,3,433,10,0,Loyal Customers
C007561,Krista,Martinez,jeffward@example.net,Chennai,Tamil Nadu,Regular,54,6,385601.55,2025-08-14 05:41:48.109081,2026-06-20 03:37:27.394473,2,1,1,211,4,2,At Risk
C000729,Billy,Hunt,aguilarkyle@example.org,Jaipur,Rajasthan,Budget,48,8,642158.95,2025-08-14 18:44:57.218972,2026-06-26 10:33:38.108181,2,2,2,222,6,1,At Risk
C004785,Amy,Watkins,mercedesortega@example.net,Bangalore,Karnataka,Regular,10,14,1072317.75,2025-08-15 10:41:33.312933,2026-08-03 10:02:51.721717,4,5,4,454,13,3,Loyal Customers
C006802,Robert,Castro,kimberly52@example.org,Chennai,Tamil Nadu,Regular,54,12,1097113.85,2025-08-15 00:00:19.008190,2026-06-20 00:54:31.136711,2,4,5,245,11,3,Loyal Customers
C007419,Adam,Ingram,amanda36@example.org,Pune,Maharashtra,Regular,10,11,1077064.4,2025-08-15 09:48:59.681396,2026-08-03 07:04:09.374493,4,3,5,435,12,3,Loyal Customers
C001853,Jacob,Parker,kayleewarner@example.com,Chennai,Tamil Nadu,Regular,40,10,773737.95,2025-08-15 05:10:25.434254,2026-07-04 23:53:49.340293,2,3,3,233,8,1,At Risk
C000815,Ashley,Charles,rsmith@example.org,Bhubaneswar,Odisha,Budget,108,11,802283.0,2025-08-16 14:59:15.611556,2026-04-27 02:41:35.904959,1,3,3,133,7,1,At Risk
C006646,Dawn,Johnson,jeremy30@example.org,Bangalore,Karnataka,Regular,65,9,532182.35,2025-08-16 23:23:50.474304,2026-06-09 20:40:38.664386,1,2,2,122,5,1,At Risk
C001342,Kyle,Phillips,zsanchez@example.com,Chennai,Tamil Nadu,Budget,32,12,603929.55,2025-08-17 14:17:22.210422,2026-07-12 19:16:31.125911,3,4,2,342,9,1,At Risk
C007565,Diana,Burton,yjimenez@example.com,Pune,Maharashtra,Regular,59,9,347269.05,2025-08-17 19:22:13.273332,2026-06-15 18:30:11.610116,2,2,1,221,5,2,At Risk
C005069,Karen,Murillo,alexis06@example.org,Lucknow,Uttar Pradesh,Regular,24,10,726928.75,2025-08-18 04:34:06.404464,2026-07-20 09:34:21.848618,3,3,3,333,9,1,At Risk
C009176,Amy,Barnes,vperkins@example.org,Jaipur,Rajasthan,Regular,42,12,1329198.0,2025-08-18 03:25:46.683466,2026-07-02 08:54:43.232832,2,4,5,245,11,3,Loyal Customers
C006592,Janice,Montoya,timothy39@example.net,Delhi,Delhi,Budget,14,8,822906.45,2025-08-23 17:43:18.397983,2026-07-30 06:58:15.994959,4,2,3,423,9,0,Loyal Customers
C002711,Edward,Davis,qhunt@example.net,Chennai,Tamil Nadu,Regular,5,8,779299.4,2025-08-30 05:49:35.537755,2026-08-08 09:05:50.247502,5,2,3,523,10,0,Loyal Customers
C008738,Karen,Rodriguez,raymond69@example.net,Jaipur,Rajasthan,Premium,101,12,1025972.7,2025-08-20 21:34:05.864458,2026-05-04 18:28:47.801278,1,4,4,144,9,1,At Risk
C000824,Lori,Monroe,christopher78@example.org,Jaipur,Rajasthan,Regular,34,8,397112.05,2025-08-15 04:33:37.892178,2026-07-10 05:46:46.192061,3,2,1,321,6,2,At Risk
C004859,Julia,Davis,dianawilliams@example.org,Lucknow,Uttar Pradesh,Budget,21,12,845990.9,2025-08-15 14:01:17.112771,2026-07-23 23:04:16.286562,3,4,3,343,10,3,Loyal Customers
C006494,Gary,Bradford,opark@example.net,Mumbai,Maharashtra,Regular,50,9,684437.8,2025-08-15 20:46:00.075600,2026-06-24 06:47:18.484384,2,2,3,223,7,1,At Risk
C006566,Darryl,Mendoza,andrewrandall@example.com,Lucknow,Uttar Pradesh,Premium,11,12,712958.8,2025-08-16 10:15:26.001260,2026-08-02 15:12:48.643686,4,4,3,443,11,0,Loyal Customers
C005976,Travis,Powell,hferguson@example.net,Kolkata,West Bengal,Regular,84,8,855308.4,2025-08-16 20:25:08.127081,2026-05-21 09:40:37.692376,1,2,4,124,7,1,At Risk
